"DDAIF.Open","DDAIF.High","DDAIF.Low","DDAIF.Close","DDAIF.Volume","DDAIF.Adjusted","Avg_volume_10","Avg_volume_20","Avg_volume_60","Range","perc_change_closing","change_from_yest","moving_avg_10","moving_avg_20","moving_avg_60","perc_moving_avg_10","perc_moving_avg_20","perc_moving_avg_60","cash_tradet","avg_cash_trated_10","avg_cash_trated_20","avg_cash_trated_60","Avg_Dollar_volume_pct_10","Avg_Dollar_volume_pct_20","Avg_Dollar_volume_pct_60","nightgap","night_gap_perc","perc_range_previous","perc_range_atpr","perc_range_williams","one_month_range_perc","EMA10","EMA20","EMA60","WMA10","EVWMA10","ZLEMA10","VWAP10","HMA10","ALMA10"
53.299999,53.75,53.200001,53.450001,112000,35.614368,332360,778045,NA,0.549999,1.34622482570252,0.709999000000003,0.964000399999999,1.3649996,NA,57.0538145004919,40.2929788404334,NA,5986400.112,16780606.88531,38037973.874145,NA,35.6745149499962,15.7379573680949,NA,0.559997000000003,1.06180693736038,27.2731404966192,1.02899717438733,54.5453719006762,45.4546280993238,50.8489869224114,49.8967768201002,NA,51.2943634727273,49.1134495923299,52.6179777852006,50.0504235242508,51.9002653438095,51.351595753063
54.950001,55.099998,53.900002,54.07,112000,36.027493,279570,680300,NA,1.199996,1.15996068924302,0.619999,1.0160004,1.2959995,NA,118.109796019765,92.5923196729628,NA,6055840,14343466.4493,33266526.580835,NA,42.2201984534606,18.2040045127188,NA,1.5,2.80636103262187,73.3336611122038,2.21933789532088,85.8334527781759,14.1665472218241,51.4037169365184,50.278036361043,NA,51.9052729636364,49.3052061719554,53.3374370060732,50.7906912649426,52.5175219358875,51.9028575284081
54.5,54.75,53.610001,53.77,221600,35.827587,254850,608510,NA,1.139999,-0.554836323284626,-0.299999999999997,1.0499999,1.29449955,NA,108.571343673462,88.0648432824873,NA,11915432,13277737.55554,29957463.863705,NA,89.739927078378,39.7745017876368,NA,0.43,0.795265396707971,64.0351438904766,2.12013948298308,85.9649876885852,13.3332944443153,51.8048594935151,50.595366326658,NA,52.3469095454546,49.6795214687553,53.7688123686054,51.622771327683,53.1329050192208,52.6328467635892
54.400002,54.849998,53.529999,54.119999,300200,36.060799,263670,558080,NA,1.319999,0.650918727915188,0.349998999999997,1.0579996,1.25449955,NA,124.763657755637,105.221161697507,NA,16246823.6998,13840299.96792,27700668.917815,NA,117.387800390584,58.6513767880575,NA,0.630001999999998,1.17166077738515,21.2123645548216,2.43902258756509,55.3029964416638,49.1668305561022,52.1185212219669,50.8748551526906,NA,52.6647275272727,50.117915428963,54.2072098470407,52.0097921084689,53.6191476081385,53.2170422886377
54.279999,54.400002,53.23,53.25,216300,35.481106,247080,517130,NA,1.170002,-1.6075369846182,-0.869999,1.0549997,1.22599975,NA,110.900695042852,95.4324827554006,NA,11517975,12981725.54436,25891754.117815,NA,88.7245301916282,44.4851088404048,NA,0.159999999999997,0.295639325492221,88.0339520787138,2.1971868544601,98.2906012126472,1.666672222241,52.3206082725183,51.0991546619581,NA,52.8549093090909,50.3903550811871,54.4504446021242,52.1567985480007,53.9138775035931,53.4625705288234
52.099998,52.240002,51.5,51.849998,339000,34.548275,270440,473545,NA,0.740001999999997,-2.6291117370892,-1.400002,1.024,1.17099985,NA,72.2658203124997,63.1940302981249,NA,17577149.322,14191571.27656,23750520.49445,NA,123.856259320854,74.007427862928,NA,-1.150002,-2.15962816901409,33.783692476507,1.42719774068265,52.7031008024302,29.1665972219907,52.1714067684241,51.1373304084383,NA,52.7036365454545,50.5294504914362,53.746727401738,52.1195525264014,53.8902943218182,53.2597102831301
52.799999,53.400002,52.290001,52.950001,135500,35.281219,201640,435905,NA,1.110001,2.12151020719422,1.100003,1.0250003,1.15349995,NA,108.292748792367,96.2289595244459,NA,7174725.1355,10672136.20776,21924482.94564,NA,67.2285753838399,32.7247176286399,NA,0.950001,1.83221029246713,13.5136815192058,2.09631912943685,40.5405941075728,55.0001833339448,52.1929693559833,51.2471085600156,NA,52.6869094181818,50.647757669531,53.2527770559675,52.4044520751835,53.7477804909091,52.870117646341
51.080002,51.080002,49.919998,50.299999,206400,33.515488,187150,403270,NA,1.160004,-5.00472511794665,-2.650002,1.0250007,1.09950025,NA,113.171044663677,105.502840949786,NA,10381919.7936,9858977.15199,20332340.59941,NA,105.304228152151,51.0611148915205,NA,-1.869999,-3.53163166134784,67.241406064117,2.3061710200034,67.241406064117,31.6668555561852,51.7797018367136,51.1207170781094,NA,52.2239999272727,50.5674960634443,51.9495438639734,52.28708723035,53.2929963089178,52.2137343724899
50.950001,51.669998,50.5,50.549999,108600,33.68206,180750,371960,NA,1.169998,0.497017902525207,0.25,1.0660003,1.07600015,NA,109.755879055569,108.735858447603,NA,5489729.8914,9529416.10661,18743006.89398,NA,57.6082503899908,29.2894833921404,NA,0.650002000000001,1.29225052270876,34.1882635696814,2.31453614865551,95.7265738915793,4.16659722199072,51.547028775493,51.0616011659085,NA,51.8965453818182,50.5634406983046,51.1278086159782,52.3799667630429,52.7249939958009,51.5472739095345
51.450001,51.77,50.049999,51.150002,215600,34.081852,196720,330470,NA,1.720001,1.18694957837685,0.600003000000001,1.1280001,1.1065004,NA,152.48234463809,155.445131334792,NA,11027940.4312,10337393.53855,16651632.66327,NA,106.680087103919,66.227382348671,NA,0.900002000000001,1.78041942196676,17.4417921850045,3.3626606700817,36.0463743916429,91.6672222240743,51.2748415435852,50.9652581024886,NA,51.4816360909091,50.5071688244969,50.3263885948913,52.1456353011895,52.0638513477922,50.931152007886
